系列,模型,任务,方法,任务类型,状态,执行机器,run_name,accuracy,precision,recall,f1,strict_f1,tolerant_f1,contract_hit,candidate_recall,avg_candidates_per_contract,multi_label_examples,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,train_examples,val_examples,test_examples,runtime_minutes,完成时间,本地summary,predictions_file,multi_label_predictions_file,best_checkpoint,来源,补齐阶段说明,数据版本说明,补齐前6组标记,可用于补齐前后对比,本地metrics路径,macro_precision,macro_recall,macro_f1,strict_precision,strict_recall,tolerant_precision,tolerant_recall
StarCoder2,bigcode/starcoder2-15b,has_vul,direct,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_15b_e1__has_vul__direct,0.5116377486246297,0.7121212121212122,0.07768595041322314,0.14008941877794337,,,,,,,,,,,,,2363,68.32972696666667,46157.67322931713,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_15b_e1__has_vul__direct/_root_autodl-tmp_hf_cache_worker_7_local_modelscope_starcoder2-15b/has_vul__direct/predictions.jsonl,,,matrix_summary,,,,,,,,,,,,
StarCoder2,bigcode/starcoder2-15b,has_vul,prompt,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_15b_e1__has_vul__prompt,0.5454930173508252,0.7411347517730497,0.17272727272727273,0.2801608579088472,,,,,,,,,,,,,2363,68.89333905,46157.72107195602,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_15b_e1__has_vul__prompt/_root_autodl-tmp_hf_cache_worker_7_local_modelscope_starcoder2-15b/has_vul__prompt/predictions.jsonl,,,matrix_summary,,,,,,,,,,,,
StarCoder2,bigcode/starcoder2-15b,has_vul,qlora,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_15b_e1__has_vul__qlora,0.7261955141768938,0.6745195288282703,0.8991735537190083,0.7708111937654977,,,,,,,,,,,17411,4667,2363,137.23648643333334,46157.81637511574,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1\matrix_summary.json,,,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_15b_e1__has_vul__qlora/_root_autodl-tmp_hf_cache_worker_7_local_modelscope_starcoder2-15b/has_vul__finetune/checkpoints/checkpoint-2177,matrix_summary,,,,,,,,,,,,
StarCoder2,bigcode/starcoder2-3b,has_vul,direct,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_3b_e1__has_vul__direct,0.4879390605162928,0.5,0.019834710743801654,0.03815580286168521,,,,,,,,,,,,,2363,23.165929533333333,46160.01891620371,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__has_vul__direct/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/has_vul__direct/predictions.jsonl,,,matrix_summary,,,,,,,,,,,,
StarCoder2,bigcode/starcoder2-3b,has_vul,full,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_3b_e1__has_vul__full,0.8489208633093526,0.8667239896818573,0.8330578512396695,0.8495575221238938,,,,,,,,,,,17411,4667,2363,68.87350046666667,46160.08318033565,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1\matrix_summary.json,,,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__has_vul__full/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/has_vul__finetune/checkpoints/checkpoint-2177,matrix_summary,,,,,,,,,,,,
StarCoder2,bigcode/starcoder2-3b,has_vul,prompt,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_3b_e1__has_vul__prompt,0.49259415996614475,0.5478260869565217,0.05206611570247934,0.09509433962264151,,,,,,,,,,,,,2363,23.66673743333333,46160.03535148148,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__has_vul__prompt/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/has_vul__prompt/predictions.jsonl,,,matrix_summary,,,,,,,,,,,,
StarCoder2,bigcode/starcoder2-3b,has_vul,qlora,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_3b_e1__has_vul__qlora,0.6906474820143885,0.6846569005397071,0.7338842975206612,0.7084164339848424,,,,,,,,,,,17411,4667,2363,35.51634743333333,46160.10784451389,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1\matrix_summary.json,,,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__has_vul__qlora/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/has_vul__finetune/checkpoints/checkpoint-2177,matrix_summary,,,,,,,,,,,,
StarCoder2,bigcode/starcoder2-7b,has_vul,direct,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_7b_e1__has_vul__direct,0.4777824798984342,0.39285714285714285,0.03636363636363636,0.06656580937972768,,,,,,,,,,,,,2363,35.186299266666666,46157.40391070602,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_7b_e1__has_vul__direct/_root_autodl-tmp_hf_cache_worker_5_local_modelscope_starcoder2-7b/has_vul__direct/predictions.jsonl,,,matrix_summary,,,,,,,,,,,,
StarCoder2,bigcode/starcoder2-7b,has_vul,prompt,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_7b_e1__has_vul__prompt,0.4807448159119763,0.44516129032258067,0.05702479338842975,0.1010989010989011,,,,,,,,,,,,,2363,35.619878533333335,46157.42864677083,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_7b_e1__has_vul__prompt/_root_autodl-tmp_hf_cache_worker_5_local_modelscope_starcoder2-7b/has_vul__prompt/predictions.jsonl,,,matrix_summary,,,,,,,,,,,,
StarCoder2,bigcode/starcoder2-7b,has_vul,qlora,has,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_7b_e1__has_vul__qlora,0.7490478205670758,0.7502027575020276,0.7644628099173554,0.7572656569791241,,,,,,,,,,,17411,4667,2363,70.03391945,46157.47728146991,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1\matrix_summary.json,,,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_7b_e1__has_vul__qlora/_root_autodl-tmp_hf_cache_worker_5_local_modelscope_starcoder2-7b/has_vul__finetune/checkpoints/checkpoint-2177,matrix_summary,,,,,,,,,,,,
